metric_category,name,year,metric_name,value,units,additional_notes,,,,,,,
NA,Abbott,2021,Recordable Injury or Illness Rate,0.3,Cases per 100 Workers,Employee and Contractor,,,,,,,
NA,Abbott,2020,Recordable Injury or Illness Rate,0.28,Cases per 100 Workers,Employee and Contractor,,,,,,,
NA,Abbott,2019,Recordable Injury or Illness Rate,0.46,Cases per 100 Workers,Employee and Contractor,,,,,,,
NA,Abbott,2018,Recordable Injury or Illness Rate,0.41,Cases per 100 Workers,Employee and Contractor,,,,,,,
NA,Abbott,2022,Scope 1 and 2 Carbon Emissions (Market-Based),929,1000 Metric Tons CO2e,Market-Based,,,,,,,
NA,Abbott,2021,Scope 1 and 2 Carbon Emissions (Market-Based),933,1000 Metric Tons CO2e,Market-Based,,,,,,,
NA,Abbott,2020,Scope 1 and 2 Carbon Emissions (Market-Based),901,1000 Metric Tons CO2e,Market-Based,,,,,,,
NA,Abbott,2019,Scope 1 and 2 Carbon Emissions (Market-Based),963,1000 Metric Tons CO2e,Market-Based,,,,,,,
NA,Abbott,2018,Scope 1 and 2 Carbon Emissions (Market-Based),980,1000 Metric Tons CO2e,Market-Based,,,,,,,
NA,Abbott,2022,Scope 1 (Direct) Emissions,530,1000 Metric Tons CO2e,Total Direct,,,,,,,
NA,Abbott,2021,Scope 1 (Direct) Emissions,536,1000 Metric Tons CO2e,Total Direct,,,,,,,
NA,Abbott,2020,Scope 1 (Direct) Emissions,499,1000 Metric Tons CO2e,Total Direct,,,,,,,
NA,Abbott,2019,Scope 1 (Direct) Emissions,541,1000 Metric Tons CO2e,Total Direct,,,,,,,
NA,Abbott,2018,Scope 1 (Direct) Emissions,536,1000 Metric Tons CO2e,Total Direct,,,,,,,
NA,Abbott,2022,Scope 2 (Purchased Energy) Emissions (Market-Based),399,1000 Metric Tons CO2e,Market-Based,,,,,,,
NA,Abbott,2021,Scope 2 (Purchased Energy) Emissions (Market-Based),397,1000 Metric Tons CO2e,Market-Based,,,,,,,
NA,Abbott,2020,Scope 2 (Purchased Energy) Emissions (Market-Based),402,1000 Metric Tons CO2e,Market-Based,,,,,,,
NA,Abbott,2019,Scope 2 (Purchased Energy) Emissions (Market-Based),423,1000 Metric Tons CO2e,Market-Based,,,,,,,
NA,Abbott,2018,Scope 2 (Purchased Energy) Emissions (Market-Based),445,1000 Metric Tons CO2e,Market-Based,,,,,,,
NA,Abbott,2022,Total Energy Consumption (Scope 1 & 2),14195,1000 Gigajoules,Total,,,,,,,
NA,Abbott,2021,Total Energy Consumption (Scope 1 & 2),14578,1000 Gigajoules,Total,,,,,,,
NA,Abbott,2020,Total Energy Consumption (Scope 1 & 2),13776,1000 Gigajoules,Total,,,,,,,
NA,Abbott,2019,Total Energy Consumption (Scope 1 & 2),14346,1000 Gigajoules,Total,,,,,,,
NA,Abbott,2018,Total Energy Consumption (Scope 1 & 2),14311,1000 Gigajoules,Total,,,,,,,
NA,Abbott,2022,Water Withdrawal (Total),13793,Megaliters,Total Intake,,,,,,,
NA,Abbott,2021,Water Withdrawal (Total),13823,Megaliters,Total Intake,,,,,,,
NA,Abbott,2020,Water Withdrawal (Total),13284,Megaliters,Total Intake,,,,,,,
NA,Abbott,2019,Water Withdrawal (Total),13402,Megaliters,Total Intake,,,,,,,
NA,Abbott,2018,Water Withdrawal (Total),13479,Megaliters,Total Intake,,,,,,,
NA,Abbott,2022,Water Consumed in Process,2351,Megaliters,Consumed,,,,,,,
NA,Abbott,2021,Water Consumed in Process,2419,Megaliters,Consumed,,,,,,,
NA,Abbott,2020,Water Consumed in Process,2524,Megaliters,Consumed,,,,,,,
NA,Abbott,2019,Water Consumed in Process,2307,Megaliters,Consumed,,,,,,,
NA,Abbott,2018,Water Consumed in Process,2668,Megaliters,Consumed,,,,,,,
NA,Abbott,2022,Total Waste,66239,Metric Tons,Total Generated,,,,,,,
NA,Abbott,2021,Total Waste,70133,Metric Tons,Total Generated,,,,,,,
NA,Abbott,2020,Total Waste,60976,Metric Tons,Total Generated,,,,,,,
NA,Abbott,2019,Total Waste,63751,Metric Tons,Total Generated,,,,,,,
NA,Abbott,2018,Total Waste,59969,Metric Tons,Total Generated,,,,,,,
NA,Abbott,2022,Waste Diversion Rate,90,Percent,Diverted from Landfill,,,,,,,
NA,Abbott,2021,Waste Diversion Rate,87.9,Percent,Diverted from Landfill,,,,,,,
NA,Abbott,2020,Waste Diversion Rate,87.7,Percent,Diverted from Landfill,,,,,,,
NA,Abbott,2019,Waste Diversion Rate,89.2,Percent,Diverted from Landfill,,,,,,,
NA,Abbott,2018,Waste Diversion Rate,86.6,Percent,Diverted from Landfill,,,,,,,
NA,Abbott,2022,Total Hazardous Waste,8145,Metric Tons,Hazardous,,,,,,,
NA,Abbott,2021,Total Hazardous Waste,7859,Metric Tons,Hazardous,,,,,,,
NA,Abbott,2020,Total Hazardous Waste,10135,Metric Tons,Hazardous,,,,,,,
NA,Abbott,2019,Total Hazardous Waste,7586,Metric Tons,Hazardous,,,,,,,
NA,Abbott,2018,Total Hazardous Waste,6582,Metric Tons,Hazardous,,,,,,,
NA,Abbott,2022,EHS Fines (Total),14694,USD,Environmental Health and Safety,,,,,,,
NA,Abbott,2021,EHS Fines (Total),0,USD,Environmental Health and Safety,,,,,,,
NA,Abbott,2020,EHS Fines (Total),1200,USD,Environmental Health and Safety,,,,,,,
NA,Abbott,2019,EHS Fines (Total),16700,USD,Environmental Health and Safety,,,,,,,
NA,Abbott,2018,EHS Fines (Total),3000,USD,Environmental Health and Safety,,,,,,,
NA,Abbott,2022,EHS Notices of Violation,11,Count,Notices,,,,,,,
NA,Abbott,2021,EHS Notices of Violation,25,Count,Notices,,,,,,,
NA,Abbott,2020,EHS Notices of Violation,2,Count,Notices,,,,,,,
NA,Abbott,2019,EHS Notices of Violation,4,Count,Notices,,,,,,,
NA,Abbott,2018,EHS Notices of Violation,7,Count,Notices,,,,,,,
Environment,Accenture,FY24,Carbon Emissions by Scope,22395,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY23,Carbon Emissions by Scope,22038,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY22,Carbon Emissions by Scope,17804,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY21,Carbon Emissions by Scope,9250,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY24,Carbon Emissions by Scope,3584,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY23,Carbon Emissions by Scope,4786,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY22,Carbon Emissions by Scope,8356,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY21,Carbon Emissions by Scope,70659,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY24,Carbon Emissions by Scope,25979,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY23,Carbon Emissions by Scope,26824,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY22,Carbon Emissions by Scope,26160,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY21,Carbon Emissions by Scope,79909,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY24,Carbon Emissions by Scope,628840,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY23,Carbon Emissions by Scope,515371,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY22,Carbon Emissions by Scope,405352,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY21,Carbon Emissions by Scope,297067,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY24,Carbon Emissions by Scope,654819,Metric Tons of CO2e,Sum of Scope 1,2, and 3 Carbon Emissions,,,,,
Environment,Accenture,FY23,Carbon Emissions by Scope,542195,Metric Tons of CO2e,Sum of Scope 1,2, and 3 Carbon Emissions,,,,,
Environment,Accenture,FY22,Carbon Emissions by Scope,431512,Metric Tons of CO2e,Sum of Scope 1,2, and 3 Carbon Emissions,,,,,
Environment,Accenture,FY21,Carbon Emissions by Scope,376976,Metric Tons of CO2e,Sum of Scope 1,2, and 3 Carbon Emissions,,,,,
Environment,Accenture,FY24,Progress Target,-89,%,Compared to FY19 Base Year,,,,,,,
Environment,Accenture,FY24,Progress Target,-80,%,Compared to FY19 Base Year (0.000024 Metric Tons of CO2e),,,,,,,
Environment,Accenture,FY23,Percentage Change in Scope 1, 2 & 3 Carbon Emissions,-57%,%,Compared to FY16 Baseline,,,,,,
Environment,Accenture,FY22,Percentage Change in Scope 1, 2 & 3 Carbon Emissions,-66%,%,Compared to FY16 Baseline,,,,,,
Environment,Accenture,FY21,Percentage Change in Scope 1, 2 & 3 Carbon Emissions,-70%,%,Compared to FY16 Baseline,,,,,,
Environment,Accenture,FY23,Carbon Emissions,0.7,metric tons of CO2e,,,,,,,,
Environment,Accenture,FY22,Carbon Emissions,0.6,metric tons of CO2e,,,,,,,,
Environment,Accenture,FY21,Carbon Emissions,0.7,metric tons of CO2e,,,,,,,,
Environment,Accenture,FY24,Scope 1 & 2 Carbon Emissions by Source,16076,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY23,Scope 1 & 2 Carbon Emissions by Source,16163,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY22,Scope 1 & 2 Carbon Emissions by Source,11804,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY21,Scope 1 & 2 Carbon Emissions by Source,8060,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY24,Scope 1 & 2 Carbon Emissions by Source,0,Metric Tons of CO2e,"Zero value (""—"") due to 100% renewable electricity procurement",,,,,,,
Environment,Accenture,FY23,Scope 1 & 2 Carbon Emissions by Source,0,Metric Tons of CO2e,"Zero value (""—"") due to 100% renewable electricity procurement",,,,,,,
Environment,Accenture,FY22,Scope 1 & 2 Carbon Emissions by Source,3572,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY21,Scope 1 & 2 Carbon Emissions by Source,66811,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY24,Scope 1 & 2 Carbon Emissions by Source,9903,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY23,Scope 1 & 2 Carbon Emissions by Source,10661,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY22,Scope 1 & 2 Carbon Emissions by Source,10784,Metric Tons of CO2e,,,,,,,,
Environment,Accenture,FY21,Scope 1 & 2 Carbon Emissions by Source,5038,Metric Tons of CO2e,,,,,,,,
Inclusion & Diversity,Accenture,FY24,Global Workforce Representation,48,%,Global goal of gender parity by 2025,,,,,,,
Inclusion & Diversity,Accenture,FY23,Global Workforce Representation,48.7,%,,,,,,,,
Inclusion & Diversity,Accenture,FY22,Global Workforce Representation,48.6,%,,,,,,,,
Inclusion & Diversity,Accenture,FY21,Global Workforce Representation,47.9,%,,,,,,,,
Inclusion & Diversity,Accenture,FY24,Managing Director Representation,30,%,Global goal of 30% women by 2025,,,,,,,
Inclusion & Diversity,Accenture,FY23,Managing Director Representation,29.5,%,,,,,,,,
Inclusion & Diversity,Accenture,FY22,Managing Director Representation,27.6,%,,,,,,,,
Inclusion & Diversity,Accenture,FY21,Managing Director Representation,25.4,%,,,,,,,,
Inclusion & Diversity,Accenture,FY24,Workforce Representation,34.8,%,,,,,,,,
Inclusion & Diversity,Accenture,FY23,Workforce Representation,34,%,,,,,,,,
Inclusion & Diversity,Accenture,FY22,Workforce Representation,33.1,%,,,,,,,,
Inclusion & Diversity,Accenture,FY21,Workforce Representation,32.1,%,,,,,,,,
Inclusion & Diversity,Accenture,FY24,Managing Director Representation,12.7,%,,,,,,,,
Inclusion & Diversity,Accenture,FY23,Managing Director Representation,11.5,%,,,,,,,,
Inclusion & Diversity,Accenture,FY22,Managing Director Representation,10.7,%,,,,,,,,
Inclusion & Diversity,Accenture,FY21,Managing Director Representation,9.4,%,,,,,,,,
Community Impact,Accenture,FY24,People equipped with Skills to Succeed,5013000,People,Cumulative since 2010,,,,,,,
Community Impact,Accenture,FY23,People equipped with Skills to Succeed,4344000,People,Cumulative since 2010,,,,,,,
Community Impact,Accenture,FY22,People equipped with Skills to Succeed,1637000,People,Cumulative since 2010,,,,,,,
Community Impact,Accenture,FY21,People equipped with Skills to Succeed,3465000,People,Cumulative since 2010,,,,,,,
Community Impact,Accenture,FY24,Hours of participation in Accenture sponsored Time & Skills Programs,1674172,Hours,,,,,,,,
Community Impact,Accenture,FY23,Hours of participation in Accenture sponsored Time & Skills Programs,1495906,Hours,,,,,,,,
Community Impact,Accenture,FY22,Hours of participation in Accenture sponsored Time & Skills Programs,1255678,Hours,,,,,,,,
Community Impact,Accenture,FY21,Hours of participation in Accenture sponsored Time & Skills Programs,1029481,Hours,,,,,,,,
Community Impact,Accenture,FY24,Employees participating in Accenture sponsored Time & Skills Programs,12738,Employees,,,,,,,,
Community Impact,Accenture,FY23,Employees participating in Accenture sponsored Time & Skills Programs,13459,Employees,,,,,,,,
Community Impact,Accenture,FY22,Employees participating in Accenture sponsored Time & Skills Programs,9463,Employees,,,,,,,,
Community Impact,Accenture,FY21,Employees participating in Accenture sponsored Time & Skills Programs,6700,Employees,,,,,,,,
Community Impact,Accenture,FY24,Employee Donations,10459,US$ thousands,,,,,,,,
Community Impact,Accenture,FY23,Employee Donations,12909,US$ thousands,,,,,,,,
Community Impact,Accenture,FY22,Employee Donations,19522,US$ thousands,,,,,,,,
Community Impact,Accenture,FY21,Employee Donations,16926,US$ thousands,,,,,,,,
Community Impact,Accenture,FY24,Accenture and Accenture Foundations Contributions,44586,US$ thousands,,,,,,,,
Community Impact,Accenture,FY23,Accenture and Accenture Foundations Contributions,48235,US$ thousands,,,,,,,,
Community Impact,Accenture,FY22,Accenture and Accenture Foundations Contributions,49464,US$ thousands,,,,,,,,
Community Impact,Accenture,FY24,Accenture and Accenture Foundations Contributions,31806,US$ thousands,"EMEA includes Europe, Middle East, and Africa geographic market",,,,,,,
Community Impact,Accenture,FY23,Accenture and Accenture Foundations Contributions,29765,US$ thousands,,,,,,,,
Community Impact,Accenture,FY22,Accenture and Accenture Foundations Contributions,28929,US$ thousands,,,,,,,,
Community Impact,Accenture,FY24,Accenture and Accenture Foundations Contributions,27575,US$ thousands,,,,,,,,
Community Impact,Accenture,FY23,Accenture and Accenture Foundations Contributions,24316,US$ thousands,,,,,,,,
Community Impact,Accenture,FY22,Accenture and Accenture Foundations Contributions,23239,US$ thousands,,,,,,,,
Community Impact,Accenture,FY24,Accenture and Accenture Foundations Contributions,23248,US$ thousands,,,,,,,,
Community Impact,Accenture,FY23,Accenture and Accenture Foundations Contributions,25666,US$ thousands,,,,,,,,
Community Impact,Accenture,FY22,Accenture and Accenture Foundations Contributions,28949,US$ thousands,,,,,,,,
Community Impact,Accenture,FY24,Accenture and Accenture Foundations Contributions,127215,US$ thousands,,,,,,,,
Community Impact,Accenture,FY23,Accenture and Accenture Foundations Contributions,127982,US$ thousands,,,,,,,,
Community Impact,Accenture,FY22,Accenture and Accenture Foundations Contributions,130581,US$ thousands,,,,,,,,
Community Impact,Accenture,FY24,Accenture and Accenture Foundations Contributions,149993,US$ thousands,,,,,,,,
Community Impact,Accenture,FY23,Accenture and Accenture Foundations Contributions,150103,US$ thousands,,,,,,,,
Community Impact,Accenture,FY22,Accenture and Accenture Foundations Contributions,151903,US$ thousands,,,,,,,,
Community Impact,Accenture,FY23,Accenture and Accenture Foundations Contributions,34709,US$ thousands,,,,,,,,
Community Impact,Accenture,FY22,Accenture and Accenture Foundations Contributions,27992,US$ thousands,,,,,,,,
Community Impact,Accenture,FY21,Accenture and Accenture Foundations Contributions,25604,US$ thousands,,,,,,,,
Community Impact,Accenture,FY23,Accenture and Accenture Foundations Contributions,14263,US$ thousands,,,,,,,,
Community Impact,Accenture,FY22,Accenture and Accenture Foundations Contributions,13858,US$ thousands,,,,,,,,
Community Impact,Accenture,FY21,Accenture and Accenture Foundations Contributions,14357,US$ thousands,,,,,,,,
Environmental,Air Liquide,2024,Scope 1: total direct greenhouse gas (GHG) emissions,14868,ktons CO2-eq,"(a), (b), * Metric verified by independent verifier",,,,,,,
Environmental,Air Liquide,2023,Scope 1: total direct greenhouse gas (GHG) emissions,15473,ktons CO2-eq,"(a), (b)",,,,,,,
Environmental,Air Liquide,2022,Scope 1: total direct greenhouse gas (GHG) emissions,16083,ktons CO2-eq,"(a), (b)",,,,,,,
Environmental,Air Liquide,2021,Scope 1: total direct greenhouse gas (GHG) emissions,15557,ktons CO2-eq,"(a), (b)",,,,,,,
Environmental,Air Liquide,2020,Scope 1: total direct greenhouse gas (GHG) emissions,15505,ktons CO2-eq,"(a), (b)",,,,,,,
Environmental,Air Liquide,2024,Scope 2: total indirect greenhouse gas (GHG) emissions,20064,ktons CO2-eq,"(a), (c), * Metric verified by independent verifier",,,,,,,
Environmental,Air Liquide,2023,Scope 2: total indirect greenhouse gas (GHG) emissions,21504,ktons CO2-eq,"(a), (c)",,,,,,,
Environmental,Air Liquide,2022,Scope 2: total indirect greenhouse gas (GHG) emissions,22771,ktons CO2-eq,"(a), (c)",,,,,,,
Environmental,Air Liquide,2021,Scope 2: total indirect greenhouse gas (GHG) emissions,23961,ktons CO2-eq,"(a), (c)",,,,,,,
Environmental,Air Liquide,2020,Scope 2: total indirect greenhouse gas (GHG) emissions,23784,ktons CO2-eq,"(a), (c)",,,,,,,
Environmental,Air Liquide,2024,Total Scope 1 & 2 emissions,34933,ktons CO2-eq,"(a), (b), (c), * Metric verified by independent verifier",,,,,,,
Environmental,Air Liquide,2023,Total Scope 1 & 2 emissions,36977,ktons CO2-eq,"(a), (b), (c)",,,,,,,
Environmental,Air Liquide,2022,Total Scope 1 & 2 emissions,38854,ktons CO2-eq,"(a), (b), (c)",,,,,,,
Environmental,Air Liquide,2021,Total Scope 1 & 2 emissions,39518,ktons CO2-eq,"(a), (b), (c)",,,,,,,
Environmental,Air Liquide,2020,Total Scope 1 & 2 emissions,39289,ktons CO2-eq,"(a), (b), (c)",,,,,,,
Environmental,Air Liquide,2023,Significant Scope 3 emissions,23244,ktons CO2-eq,"(d), * Metric verified by independent verifier",,,,,,,
Environmental,Air Liquide,2021,Significant Scope 3 emissions,22300,ktons CO2-eq,"(d), (e)",,,,,,,
Environmental,Air Liquide,2020,Significant Scope 3 emissions,22134,ktons CO2-eq,(d),,,,,,,
Environmental,Air Liquide,2024,Change in Scope 1 & 2 emissions vs 2020,-11.1,%,(a), (b), (c),,,,,
Environmental,Air Liquide,2023,Change in Scope 1 & 2 emissions vs 2020,-5.9,%,(a), (b), (c),,,,,
Environmental,Air Liquide,2022,Change in Scope 1 & 2 emissions vs 2020,-1.1,%,(a), (b), (c),,,,,
Environmental,Air Liquide,2021,Change in Scope 1 & 2 emissions vs 2020,0.6,%,(a), (b), (c),,,,,
Environmental,Air Liquide,2024,Annual water withdrawal (million m3),4200,million m3,"(a), * Metric verified by independent verifier",,,,,,,
Environmental,Air Liquide,2023,Annual water withdrawal (million m3),3900,million m3,(a),,,,,,,
Environmental,Air Liquide,2022,Annual water withdrawal (million m3),4000,million m3,(a),,,,,,,
Environmental,Air Liquide,2021,Annual water withdrawal (million m3),3800,million m3,(a),,,,,,,
Environmental,Air Liquide,2020,Annual water withdrawal (million m3),3300,million m3,,,,,,,,
Environmental,Air Liquide,2024,Annual water discharge (million m3),4100,million m3,"(a), * Metric verified by independent verifier",,,,,,,
Environmental,Air Liquide,2023,Annual water discharge (million m3),3800,million m3,(a),,,,,,,
Environmental,Air Liquide,2022,Annual water discharge (million m3),3900,million m3,(a),,,,,,,
Environmental,Air Liquide,2021,Annual water discharge (million m3),3700,million m3,(a),,,,,,,
Environmental,Air Liquide,2020,Annual water discharge (million m3),3210,million m3,,,,,,,,
Environmental,Air Liquide,2024,Annual water consumption (estimated million m3),100,million m3,"(b), * Metric verified by independent verifier",,,,,,,
Environmental,Air Liquide,2023,Annual water consumption (estimated million m3),89,million m3,(b),,,,,,,
Environmental,Air Liquide,2022,Annual water consumption (estimated million m3),91,million m3,(b),,,,,,,
Environmental,Air Liquide,2021,Annual water consumption (estimated million m3),82,million m3,(b),,,,,,,
Environmental,Air Liquide,2020,Annual water consumption (estimated million m3),90,million m3,(b),,,,,,,
Environmental,Air Liquide,2024,Avoided emissions from asset optimization,4363,ktons CO2-eq,"(a), * Metric verified by independent verifier",,,,,,,
Environmental,Air Liquide,2023,Avoided emissions from asset optimization,4024,ktons CO2-eq,(a),,,,,,,
Environmental,Air Liquide,2022,Avoided emissions from asset optimization,3200,ktons CO2-eq,(a),,,,,,,
Environmental,Air Liquide,2021,Avoided emissions from asset optimization,3307,ktons CO2-eq,(a),,,,,,,
Environmental,Air Liquide,2020,Avoided emissions from asset optimization,3600,ktons CO2-eq,(a),,,,,,,
